5c:5e:ab:26:bf:c1,3
80:71:1f:89:97:c2,2
00:14:f6:a4:9f:f0,1
00:1e:f7:41:dc:00,1
b0:c6:9a:53:d0:06,5
5c:5e:ab:01:af:02,1
00:19:df:30:01:21,3
00:1f:12:c0:11:bb,7
00:24:38:89:cb:00,76
00:1d:b5:c9:9f:c9,2
00:17:0f:ac:c0:00,1
00:23:9c:5e:78:f7,1
44:2b:03:83:03:28,1
00:24:38:a6:59:03,1
18:ef:63:e2:d3:1a,1
cc:e1:7f:05:2b:c1,23
b8:38:61:d2:f4:20,1
88:a2:5e:10:17:c5,3
a8:d0:e5:5c:c8:c1,1
c4:7d:4f:b1:85:80,1
00:21:59:77:89:f6,4
00:22:83:d9:6e:9b,2
08:81:f4:9b:0b:3a,12
50:c5:8d:54:ef:c0,4
44:f4:77:86:eb:c4,1
40:55:39:5c:4a:89,1
5e:5e:ab:31:09:48,3
80:71:1f:91:50:f6,10
00:19:a9:8c:91:c0,9
00:22:83:7e:24:83,2
00:23:04:6d:6b:03,4
b2:c6:9a:e9:78:5c,1
88:e0:f3:4e:dd:c0,48
00:21:d8:cc:08:c0,2
f0:1c:2d:73:bf:c3,1
88:5a:92:af:76:81,1
00:27:0d:fc:a7:00,3
00:27:0d:46:99:c0,1
7c:69:f6:71:8b:5d,4
cc:ef:48:d8:7c:01,1
60:73:5c:c4:e7:c0,1
5c:5e:ab:01:3b:c0,1
e4:c7:22:26:61:77,1
a8:d0:e5:f7:17:cc,2
00:0d:66:ed:e2:ca,1
78:19:f7:4a:4f:c8,1
00:12:f2:c0:fb:00,2
00:1d:b5:c0:bf:cb,4
b0:a8:6e:38:97:c0,1
50:c5:8d:5f:5c:84,1
c8:4c:75:b6:92:03,1
00:17:cb:df:4f:c4,24
00:1d:b5:28:e1:20,2
b0:a8:6e:20:99:40,2
54:e0:32:7e:2f:c2,2
2c:6b:f5:d7:10:ce,3
00:1d:70:83:28:c0,1
a8:0c:0d:4b:6e:a6,1
00:23:9c:54:4b:62,2
6c:9c:ed:08:a5:b2,1
00:26:98:2d:1d:0b,1
cc:4e:24:18:b4:00,1
00:24:38:86:b9:20,1
00:21:59:08:37:c2,1
e4:c7:22:38:48:ea,3
00:1b:0d:ef:c5:00,2
08:81:f4:e8:37:c3,1
00:03:fd:c7:38:80,2
00:22:55:16:cc:c0,1
00:12:f2:3d:16:36,1
50:87:89:07:a5:84,3
88:e0:f3:b7:03:62,2
5c:5e:ab:03:6b:02,1
00:1f:12:85:e7:c2,3
00:24:38:a6:62:00,4
