(u'00:24:38:a4:7a:00', u'8ee394fa11d99aae348b6d5ef0eae820'),1
(u'00:24:38:89:cb:00', u'8e04b828014cff5a4bc8913a897173e5'),1
(u'00:17:cb:df:4f:c4', u'bd5da511b40af4231f23c36b1cc6f5b3'),2
(u'00:24:38:a4:7a:00', u'9e45b26d962d89ed67453378d9ca12fa'),1
(u'00:17:cb:df:4f:c4', u'faf766e99391b87ff7d0dd5189cb7e3e'),1
(u'50:c5:8d:97:a6:ed', u'4f194d5bdbfd1c9757531d680bc09566'),1
(u'00:21:d7:cd:21:00', u'58412d2d7af0db7132bbffdd9e4f4f3f'),16
(u'00:17:cb:df:4f:c4', u'bff8602439293d0c3bab25f6e01538ff'),1
(u'00:17:cb:df:4f:c4', u'd2398e40daaa65b8473050744c6039e5'),1
(u'00:17:cb:df:4f:c4', u'3327f054a9eb1dcdf5dd9f83eb19539d'),1
(u'00:17:cb:df:4f:c4', u'1f501ea66254366f4e5c1b0fab0388be'),1
(u'00:24:38:a4:7a:00', u'b517d595c082b01f20292b93948444e1'),1
(u'50:c5:8d:97:a6:ed', u'906ab3e9b9900dfd69b626f1fbbf1b12'),4
